logical_path	sha256	size	canonical_object
FAILURES.md	f7056be963dba234fb24dc9c46d0153f9a7147d40ef493e07b0d0a2840dd54d9	1683	objects/sha256/f7/f7056be963dba234fb24dc9c46d0153f9a7147d40ef493e07b0d0a2840dd54d9
HANDOFF.md	95acd6f5cb529d4d3874ea3ad2a2a51724bfa3ebdada437a43575808a8ca2105	2114	objects/sha256/95/95acd6f5cb529d4d3874ea3ad2a2a51724bfa3ebdada437a43575808a8ca2105
MANIFEST.json	9619a6f98f23b1f56d1c91e058d2408e2689a787ba31ac0ea70070083987aa23	4143	objects/sha256/96/9619a6f98f23b1f56d1c91e058d2408e2689a787ba31ac0ea70070083987aa23
PACKAGE_INDEX.md	7e6e186ce0a50c516af4d81dc1f4b333f392c4fc0acf37ea09271cc4dda32f2a	958	objects/sha256/7e/7e6e186ce0a50c516af4d81dc1f4b333f392c4fc0acf37ea09271cc4dda32f2a
PROOFS.md	085bc6dacab0c5219ee3f3c5a297f52b962b915a023ab2f1c6888ac235516dfa	6481	objects/sha256/08/085bc6dacab0c5219ee3f3c5a297f52b962b915a023ab2f1c6888ac235516dfa
README.md	a187cd1c6b38c86e345905b81092cd9bb3819f5634adc9d8f00e5fd2b2a5873c	296	objects/sha256/a1/a187cd1c6b38c86e345905b81092cd9bb3819f5634adc9d8f00e5fd2b2a5873c
REPLAY.md	bc16e81fb9d835f8277e8b3928149894bf66164afcb4252c6e579bbe17a7cbf6	643	objects/sha256/bc/bc16e81fb9d835f8277e8b3928149894bf66164afcb4252c6e579bbe17a7cbf6
REPORT.md	ea27f55fb628c033f4eac46a2538943f0a154204f7a151bbe19aa17357819c4a	6684	objects/sha256/ea/ea27f55fb628c033f4eac46a2538943f0a154204f7a151bbe19aa17357819c4a
SHA256SUMS	66529528df9e31eb46751d11e03caf9b67cced309eb894357f2c0823a87877e7	2283	objects/sha256/66/66529528df9e31eb46751d11e03caf9b67cced309eb894357f2c0823a87877e7
SOURCE_ADOPTION.md	963a6a491d39afc2df35d35a98cdc4cab408d7c3a468be3baed88d8ecd48a6fd	970	objects/sha256/96/963a6a491d39afc2df35d35a98cdc4cab408d7c3a468be3baed88d8ecd48a6fd
VALIDATION_RECEIPT.json	4f6703223b309e92137a9b3d1abc409bd522669f99c46a99368ca6bdbad68e58	2050	objects/sha256/4f/4f6703223b309e92137a9b3d1abc409bd522669f99c46a99368ca6bdbad68e58
inputs/OVERVIEW-2026-09-22.md.txt	4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5	4397	objects/sha256/4a/4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5
inputs/PREVIOUS_HANDOFF.md	a9bb26a4774a81944ed749011c1304d4d62a8bd674852603e41a9889f85acdd6	1870	objects/sha256/a9/a9bb26a4774a81944ed749011c1304d4d62a8bd674852603e41a9889f85acdd6
inputs/PREVIOUS_PROOFS.md	0a5732645685ca3ea204e4c0b68ffa4ae4f379d0d6834fddb605b063d0555e42	8520	objects/sha256/0a/0a5732645685ca3ea204e4c0b68ffa4ae4f379d0d6834fddb605b063d0555e42
logs/independent_check.log	d4410af3dd79d29d88d8730148746527af3657d1de33d45aafbd5674b4486b5c	247	objects/sha256/d4/d4410af3dd79d29d88d8730148746527af3657d1de33d45aafbd5674b4486b5c
logs/independent_check.time	081a4bdd9062bc7f451d3f4be140a8a72aedfdad6f109e70cc125630c68bd63b	16	objects/sha256/08/081a4bdd9062bc7f451d3f4be140a8a72aedfdad6f109e70cc125630c68bd63b
logs/probe_022.log	642c2cbde249733a50b3494ec686afc9a21091ecf82222fec8a51cba616fdbac	1412	objects/sha256/64/642c2cbde249733a50b3494ec686afc9a21091ecf82222fec8a51cba616fdbac
logs/probe_022.time	6a015b9f46605f8e6287762abfba2a49942fbf1ed36d256ac4e4c383104b6e19	17	objects/sha256/6a/6a015b9f46605f8e6287762abfba2a49942fbf1ed36d256ac4e4c383104b6e19
logs/replay_no211.log	c6701b94cc1c0035cd6aa53398b75523840f3c12fdaf6b149985f536f21e04a5	2363	objects/sha256/c6/c6701b94cc1c0035cd6aa53398b75523840f3c12fdaf6b149985f536f21e04a5
logs/replay_no211.time	94eb3a4d479b520d010f76fbda76d852724c2f1e30f2b27387f3e7cbd1444149	17	objects/sha256/94/94eb3a4d479b520d010f76fbda76d852724c2f1e30f2b27387f3e7cbd1444149
outputs/independent_check.json	d4410af3dd79d29d88d8730148746527af3657d1de33d45aafbd5674b4486b5c	247	objects/sha256/d4/d4410af3dd79d29d88d8730148746527af3657d1de33d45aafbd5674b4486b5c
