kind	round	logical_or_archive_path	bytes	sha256	canonical_object_or_file
round_zip_member	13	certificates/rank_sieve.json	27827	a479a808d41dd115ae6914a792ab946619a9ac3d4fb1ba896e71b18d49bf35af	objects/sha256/a479a808d41dd115ae6914a792ab946619a9ac3d4fb1ba896e71b18d49bf35af
round_zip_member	13	README.md	420	590a7ae5a6f809913704dc0231edb8f97bd473c184b8b71f54c9b48a1d252105	objects/sha256/590a7ae5a6f809913704dc0231edb8f97bd473c184b8b71f54c9b48a1d252105
round_zip_member	13	HANDOFF.md	1066	ebda3bf2e7ada2bef91890a3df07cef06cf28dbef507fc0ecb88713deab1343f	objects/sha256/ebda3bf2e7ada2bef91890a3df07cef06cf28dbef507fc0ecb88713deab1343f
round_zip_member	13	SHA256SUMS	848	d43370cad0444caecc0362d1abfd674a4361124ce73a3213f45e7871415ed45f	objects/sha256/d43370cad0444caecc0362d1abfd674a4361124ce73a3213f45e7871415ed45f
round_zip_member	13	evidence/symbolic_verify.py	595	9e1a9ee7160e033d5b4e4b99f85664912c900cb9838c55833679d4772f940f9c	objects/sha256/9e1a9ee7160e033d5b4e4b99f85664912c900cb9838c55833679d4772f940f9c
round_zip_member	13	evidence/replay.py	3224	f108c021a737c3ad3b4809db7bd45315d7eeb792ad1740beeb0df092cdd41c7f	objects/sha256/f108c021a737c3ad3b4809db7bd45315d7eeb792ad1740beeb0df092cdd41c7f
round_zip_member	13	outputs/replay.json	27827	a479a808d41dd115ae6914a792ab946619a9ac3d4fb1ba896e71b18d49bf35af	objects/sha256/a479a808d41dd115ae6914a792ab946619a9ac3d4fb1ba896e71b18d49bf35af
round_zip_member	13	outputs/replay.log	180	634c11cc255a38bac05aee029728bb64e15122112300df3cab9b0be54efba713	objects/sha256/634c11cc255a38bac05aee029728bb64e15122112300df3cab9b0be54efba713
round_zip_member	13	PROOFS.md	3226	a36e7aff51b5b583de27bea95b8babe31b8c6aed0c4d3c5f4f0273610be542ea	objects/sha256/a36e7aff51b5b583de27bea95b8babe31b8c6aed0c4d3c5f4f0273610be542ea
round_zip_member	13	FAILURES.md	1072	6d67af6d070ed89801aec9e6c34926d1233592e3f43711e0d90ccace3fa59a11	objects/sha256/6d67af6d070ed89801aec9e6c34926d1233592e3f43711e0d90ccace3fa59a11
round_zip_member	13	REPORT.md	5478	d789be411358656479c3834cd2221df26c15ec1cc53d89948f1ea75251944798	objects/sha256/d789be411358656479c3834cd2221df26c15ec1cc53d89948f1ea75251944798
round_zip_member	14	SHA256SUMS	1780	7c4ca891c9cfff8debc4d26c1c9ff8cb5e31933c5fb13f74b5981a5631732b4d	objects/sha256/7c4ca891c9cfff8debc4d26c1c9ff8cb5e31933c5fb13f74b5981a5631732b4d
round_zip_member	14	CONTENTS.md	740	85b938927625bfec53799179b2dac3fef9271fc51a3000b3a165764c3bdd3a44	objects/sha256/85b938927625bfec53799179b2dac3fef9271fc51a3000b3a165764c3bdd3a44
round_zip_member	14	replay.sh	477	c197dc7ce9a1be3e1638770eac22fb9a935f2d0b0c4468a2e83b062185a29c44	objects/sha256/c197dc7ce9a1be3e1638770eac22fb9a935f2d0b0c4468a2e83b062185a29c44
round_zip_member	14	PACKAGE_AUDIT.json	906	61aad96e014ebf0ec02c8152f8b467f5e98ae00560ebf52714e10cc94fd341e5	objects/sha256/61aad96e014ebf0ec02c8152f8b467f5e98ae00560ebf52714e10cc94fd341e5
round_zip_member	14	certificates/rank_exponent.json	12505	9d06660c6fea5c721ff83d42885c41b36623e1e47f88f276c1849b8edb255bbc	objects/sha256/9d06660c6fea5c721ff83d42885c41b36623e1e47f88f276c1849b8edb255bbc
round_zip_member	14	REPORT.md	9025	890b78a4f05a8675f0a71c361f09548d6abbba2e6f647277f424b9536268e902	objects/sha256/890b78a4f05a8675f0a71c361f09548d6abbba2e6f647277f424b9536268e902
round_zip_member	14	PROOFS.md	8615	69f20e11a2a83e45d01c210c2d7c36a025d7e54e37f7f79d1e21c723565508c3	objects/sha256/69f20e11a2a83e45d01c210c2d7c36a025d7e54e37f7f79d1e21c723565508c3
round_zip_member	14	FAILURES.md	1628	92b2b6ebb5e0f1307ff4b6b0f79067989c70737a7c8143f03a18103b4d2861aa	objects/sha256/92b2b6ebb5e0f1307ff4b6b0f79067989c70737a7c8143f03a18103b4d2861aa
round_zip_member	14	HANDOFF.md	1646	12904dff8c8128e0bf97caf677afaea3d1ee088d9121e1a2ebaab24e7fe054f0	objects/sha256/12904dff8c8128e0bf97caf677afaea3d1ee088d9121e1a2ebaab24e7fe054f0
round_zip_member	14	evidence/replay.py	12454	e1e9df16a4992439dabf4b702650ec494c9575a4ef4ab04f11bab231c326e408	objects/sha256/e1e9df16a4992439dabf4b702650ec494c9575a4ef4ab04f11bab231c326e408
round_zip_member	14	SOURCE_ADOPTION.md	607	e1c6287266782aa9227c440e9f819cfdbe76b7532102586b67f778917331e09f	objects/sha256/e1c6287266782aa9227c440e9f819cfdbe76b7532102586b67f778917331e09f
round_zip_member	14	FRONTIER.json	1440	caf35b7da6e214bb573c95d0e9ac060efb9d091914c81c9dc2390e33c242b9db	objects/sha256/caf35b7da6e214bb573c95d0e9ac060efb9d091914c81c9dc2390e33c242b9db
round_zip_member	14	README.md	632	d243a828c84d6996578eabe4e5ca7fe0e4b65cd62a280857e8b082e0ef4acce0	objects/sha256/d243a828c84d6996578eabe4e5ca7fe0e4b65cd62a280857e8b082e0ef4acce0
round_zip_member	14	REPLAY.md	827	bc3a1e5fc6b92e11b63afa5ba73d19d56e7a28c1155b5a1893f0067d5ceff490	objects/sha256/bc3a1e5fc6b92e11b63afa5ba73d19d56e7a28c1155b5a1893f0067d5ceff490
round_zip_member	14	sources/ROUND13_SHA256.txt	115	05d4c578bbea15303ef451b63cebb8f7342a03e8d327a8adf3808616e00a2033	objects/sha256/05d4c578bbea15303ef451b63cebb8f7342a03e8d327a8adf3808616e00a2033
round_zip_member	14	sources/round13_replay_receipt.json	173	709d51223f3c1ca825b74d28335d911013427b245f306ec4fb39581ef36cc6c4	objects/sha256/709d51223f3c1ca825b74d28335d911013427b245f306ec4fb39581ef36cc6c4
round_zip_member	14	sources/round13_rank_sieve.json	27827	a479a808d41dd115ae6914a792ab946619a9ac3d4fb1ba896e71b18d49bf35af	objects/sha256/a479a808d41dd115ae6914a792ab946619a9ac3d4fb1ba896e71b18d49bf35af
round_zip_member	14	sources/OVERVIEW-2026-09-22.md.txt	4397	4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5	objects/sha256/4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5
round_zip_member	14	MANIFEST.tsv	1710	6443b3fb6e869d05032b07a4ae3ff144741380fe5832bfd8c85957cc9e2b1413	objects/sha256/6443b3fb6e869d05032b07a4ae3ff144741380fe5832bfd8c85957cc9e2b1413
round_zip_member	14	outputs/replay.log	287	1bf80611669d9b48c61fc7b2cdb4396b34e3f99ef92b24b4b98153b74f96514a	objects/sha256/1bf80611669d9b48c61fc7b2cdb4396b34e3f99ef92b24b4b98153b74f96514a
round_zip_member	14	outputs/full_replay.log	785	5d4421562ce27a2d9aa28893b7cb74dd75a3afedb3e0dcebf3275cdc94205f2c	objects/sha256/5d4421562ce27a2d9aa28893b7cb74dd75a3afedb3e0dcebf3275cdc94205f2c
round_zip_member	14	outputs/replay.json	12505	9d06660c6fea5c721ff83d42885c41b36623e1e47f88f276c1849b8edb255bbc	objects/sha256/9d06660c6fea5c721ff83d42885c41b36623e1e47f88f276c1849b8edb255bbc
round_zip_member	15	MANIFEST.tsv	1889	760de9445c3cf04dfa94af5ebe4cef61bbfe219c9e773f9b029dc08f3bea7978	objects/sha256/760de9445c3cf04dfa94af5ebe4cef61bbfe219c9e773f9b029dc08f3bea7978
round_zip_member	15	HANDOFF.md	1517	021e2f6b5d5b873cab687a6279d274255b29c5d2d81b2895ac31d4af5246b49d	objects/sha256/021e2f6b5d5b873cab687a6279d274255b29c5d2d81b2895ac31d4af5246b49d
round_zip_member	15	REPLAY.md	450	6ae6f5d82f616f30c358a943a7f233bab328d7ec6ec533eb51953e0bf10dd8d2	objects/sha256/6ae6f5d82f616f30c358a943a7f233bab328d7ec6ec533eb51953e0bf10dd8d2
round_zip_member	15	outputs/replay.log	132	48035f36bc89e73cc247c7cb9f1e4984847f8ff3e798aea9d605faa86471c981	objects/sha256/48035f36bc89e73cc247c7cb9f1e4984847f8ff3e798aea9d605faa86471c981
round_zip_member	15	outputs/replay.json	2748	cafbe4e88f86baebe7d8ac3b3841e205904aa8247104fc5a015e712933809453	objects/sha256/cafbe4e88f86baebe7d8ac3b3841e205904aa8247104fc5a015e712933809453
round_zip_member	15	outputs/full_replay.log	157	0699ee2ff1892d0c8de07ec32d1628d474f89d093edf1612dfa513ef1af34b43	objects/sha256/0699ee2ff1892d0c8de07ec32d1628d474f89d093edf1612dfa513ef1af34b43
